Şimdi,Tarih
2452,2016-07-26 00:00:00
2435.9,2016-07-25 00:00:00
2355.94,2016-07-22 00:00:00
2296.05,2016-07-21 00:00:00
2435.98,2016-07-20 00:00:00
2487.94,2016-07-19 00:00:00
2552.85,2016-07-18 00:00:00
2812.97,2016-07-15 00:00:00
2833.22,2016-07-14 00:00:00
2796.24,2016-07-13 00:00:00
2822.37,2016-12-07 00:00:00
2755.34,2016-11-07 00:00:00
2714.09,2016-08-07 00:00:00
2708.41,2016-04-07 00:00:00
2713.57,2016-01-07 00:00:00
2701.9,2016-06-30 00:00:00
2666.02,2016-06-29 00:00:00
2664.4,2016-06-28 00:00:00
2644.81,2016-06-27 00:00:00
2595.87,2016-06-24 00:00:00
2639.61,2016-06-23 00:00:00
2640.5,2016-06-22 00:00:00
2659.63,2016-06-21 00:00:00
2620.88,2016-06-20 00:00:00
2592.67,2016-06-17 00:00:00
2553.22,2016-06-16 00:00:00
2623.55,2016-06-15 00:00:00
2573.45,2016-06-14 00:00:00
2581.85,2016-06-13 00:00:00
2597.55,2016-10-06 00:00:00
2660.84,2016-09-06 00:00:00
2716.42,2016-08-06 00:00:00
2693.5,2016-07-06 00:00:00
2727.45,2016-06-06 00:00:00
2661.49,2016-03-06 00:00:00
2624.25,2016-02-06 00:00:00
2675.68,2016-01-06 00:00:00
2652.85,2016-05-31 00:00:00
2671.62,2016-05-30 00:00:00
2658.06,2016-05-27 00:00:00
2636.98,2016-05-26 00:00:00
2639.09,2016-05-25 00:00:00
2673.08,2016-05-24 00:00:00
2605.03,2016-05-23 00:00:00
2585.68,2016-05-20 00:00:00
2594.12,2016-05-18 00:00:00
2589.3,2016-05-17 00:00:00
2570.51,2016-05-16 00:00:00
2610.42,2016-05-13 00:00:00
2639.77,2016-12-05 00:00:00
2675.97,2016-11-05 00:00:00
2693.27,2016-10-05 00:00:00
2738.04,2016-09-05 00:00:00
2707.49,2016-06-05 00:00:00
2728.72,2016-05-05 00:00:00
2663.16,2016-04-05 00:00:00
2714.39,2016-03-05 00:00:00
2822.91,2016-02-05 00:00:00
2892.77,2016-04-29 00:00:00
2917.76,2016-04-28 00:00:00
2934.21,2016-04-27 00:00:00
2897.08,2016-04-26 00:00:00
2873.01,2016-04-25 00:00:00
2863.06,2016-04-22 00:00:00
2858.83,2016-04-21 00:00:00
2859.23,2016-04-20 00:00:00
2915.28,2016-04-19 00:00:00
2930.09,2016-04-18 00:00:00
2914.75,2016-04-15 00:00:00
2889.22,2016-04-14 00:00:00
2877.03,2016-04-13 00:00:00
2791.79,2016-12-04 00:00:00
2761.9,2016-11-04 00:00:00
2691.46,2016-08-04 00:00:00
2681.21,2016-07-04 00:00:00
2701.27,2016-06-04 00:00:00
2669.62,2016-05-04 00:00:00
2691.8,2016-04-04 00:00:00
2663.72,2016-01-04 00:00:00
2658.47,2016-03-31 00:00:00
2613.55,2016-03-30 00:00:00
2541.8,2016-03-29 00:00:00
2548.41,2016-03-28 00:00:00
2536.66,2016-03-25 00:00:00
2548.88,2016-03-24 00:00:00
2517.49,2016-03-23 00:00:00
2540.31,2016-03-22 00:00:00
2598.8,2016-03-21 00:00:00
2580.29,2016-03-18 00:00:00
2590.18,2016-03-17 00:00:00
2570.86,2016-03-16 00:00:00
2587.59,2016-03-15 00:00:00
2618.62,2016-03-14 00:00:00
2593.43,2016-11-03 00:00:00
2584.93,2016-10-03 00:00:00
2607.47,2016-09-03 00:00:00
2567.24,2016-08-03 00:00:00
2575.12,2016-07-03 00:00:00
2548.91,2016-04-03 00:00:00
2562.56,2016-03-03 00:00:00
2553.93,2016-02-03 00:00:00
2557.95,2016-01-03 00:00:00
2573.45,2016-02-29 00:00:00
2531.96,2016-02-26 00:00:00
2530.15,2016-02-25 00:00:00
2488.59,2016-02-24 00:00:00
2546.37,2016-02-23 00:00:00
2554.32,2016-02-22 00:00:00
2448.58,2016-02-19 00:00:00
2451.5,2016-02-18 00:00:00
2466.06,2016-02-17 00:00:00
2431.67,2016-02-16 00:00:00
2409.33,2016-02-15 00:00:00
2443.65,2016-12-02 00:00:00
2403.37,2016-11-02 00:00:00
2427.73,2016-10-02 00:00:00
2413.89,2016-09-02 00:00:00
2441.86,2016-08-02 00:00:00
2514.39,2016-05-02 00:00:00
2504.01,2016-04-02 00:00:00
2490.71,2016-03-02 00:00:00
2494.19,2016-02-02 00:00:00
2505.92,2016-01-02 00:00:00
2491.05,2016-01-29 00:00:00
2454.64,2016-01-28 00:00:00
2448.78,2016-01-27 00:00:00
